,Price,Number of bedrooms,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Balcony,State of the property,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Number of showers,Number of facades,Surface terrace,Security door,Access for disabled,Sewer Connection,Surface garden,Garage,Brussels,Walloon Brabant,Flemish Brabant,Antwerp,Limburg,Liege,Namur,Hainaut,Luxembourg,West Flanders,East Flanders,Orientation South,Type property
117,350000,1,74,1,1,1,0,1,12,0,30,1,8,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,620000,2,163,2,2,3,0,3,24,1,68,0,11,1,2,50,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,325000,2,100,2,1,1,0,3,16,0,30,1,10,1,4,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,275000,1,80,2,1,1,0,3,14,0,24,1,8,1,4,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,499000,4,161,2,3,1,0,3,19,0,48,1,17,3,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,559000,3,160,2,2,1,0,1,37,0,47,0,17,1,2,15,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
123,245000,2,116,2,1,2,0,2,16,0,34,1,12,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,519000,6,170,2,1,1,0,1,16,0,50,1,18,6,2,20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
125,470000,2,110,1,1,2,0,3,15,0,35,0,11,2,3,106,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126,215000,1,54,2,1,1,0,1,8,0,16,0,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,1600000,2,220,1,2,1,0,3,30,0,65,0,23,1,2,36,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128,380000,4,140,1,2,2,0,2,12,0,16,1,15,2,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,480000,2,123,2,1,2,0,1,16,0,32,1,10,1,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
131,225000,1,71,1,1,1,0,0,14,0,25,1,9,1,2,10,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
133,420000,2,98,2,1,2,0,3,14,0,29,0,10,1,4,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
134,255000,2,80,1,1,1,0,1,14,0,24,0,8,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,499000,2,140,2,1,2,0,1,15,0,42,0,9,1,2,8,0,0,1,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,249000,1,90,1,1,1,0,1,13,0,27,0,9,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
137,315000,1,86,2,1,1,0,1,14,0,26,0,9,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
139,595000,2,160,1,2,2,0,1,21,0,58,0,17,1,3,25,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,340000,2,160,1,1,2,0,1,12,0,47,0,17,1,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
141,338000,1,152,2,1,1,0,1,22,0,45,0,16,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
142,535000,2,168,2,1,2,0,1,19,0,50,1,18,1,3,19,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
143,480000,3,170,1,1,1,0,3,18,0,65,0,14,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144,620000,3,146,2,3,2,0,2,16,0,41,0,15,2,2,0,1,1,1,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0
149,695000,6,250,2,1,1,0,1,34,0,74,1,27,1,2,20,0,0,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1
150,1150000,10,240,1,4,4,0,1,33,0,71,0,26,1,2,0,0,0,1,120,0,1,0,0,0,0,0,0,0,0,0,0,0,1
152,775000,9,200,2,1,4,0,1,28,0,59,0,21,4,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
157,520000,1,120,1,1,1,0,1,15,0,36,0,13,1,2,10,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
160,895000,4,225,1,4,4,0,1,13,1,66,0,24,4,2,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
162,2250000,5,550,1,6,6,0,1,30,0,86,1,16,1,2,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
165,180000,1,42,2,1,1,0,1,6,0,32,0,4,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
168,199000,1,37,2,1,1,0,2,6,0,32,0,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182,450000,2,101,2,1,1,0,2,15,0,30,1,11,1,2,25,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
183,525000,1,114,1,1,2,0,3,16,0,34,0,12,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
184,695000,3,180,1,1,2,0,1,25,0,70,0,19,1,2,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
185,450000,1,67,2,1,1,0,3,16,1,20,1,7,1,2,17,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
186,305000,1,62,2,1,1,0,1,20,0,19,0,6,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
187,1600000,2,220,1,2,2,0,3,23,0,65,0,23,2,2,36,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
189,575000,3,169,1,1,3,0,3,23,0,40,0,18,2,3,87,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190,575000,3,169,1,3,3,0,3,17,0,50,1,18,3,3,87,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
191,1600000,2,217,1,2,2,0,3,23,0,64,0,23,2,2,36,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
192,415000,2,97,2,2,2,0,3,14,0,34,1,10,1,2,60,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
193,420000,1,100,2,1,1,0,1,15,0,64,1,20,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
194,1290000,3,200,2,2,2,0,1,15,0,56,1,10,1,3,8,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195,1950000,3,226,1,2,4,0,3,20,0,45,1,24,1,2,66,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
196,229000,1,75,2,1,1,0,2,24,0,25,1,8,1,2,0,1,0,1,1000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
197,285000,5,168,1,3,1,0,0,23,0,50,0,18,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,325000,2,100,2,1,2,0,1,14,0,30,0,10,1,2,0,0,0,1,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
199,590000,3,130,1,1,1,0,2,18,0,39,1,14,1,2,8,1,0,1,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,379000,1,80,2,1,1,0,1,21,0,25,1,22,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,760000,3,205,1,1,1,0,1,28,0,50,0,22,1,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
